evaluation,metric_type,comparison,level,class_metric_kind,class,support,tp,fp,fn,precision,recall,f1,cohen_kappa_one_vs_rest
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-07-01,1,0,8,1,0.0,0.0,,-0.008416622830094242
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-07-99,0,0,9,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-08-00,13,6,23,7,0.20689655172413793,0.46153846153846156,0.28571428571428575,0.21997070312499928
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-08-01,10,0,0,10,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-08-99,0,0,18,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-09-00,2,0,0,2,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-09-01,8,3,26,5,0.10344827586206896,0.375,0.16216216216216217,0.10974787649993276
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-09-99,0,0,1,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,03-99-00,0,0,16,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,04-00-00,1,0,0,1,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,04-01-00,1,0,1,1,0.0,0.0,,-0.00471698113209755
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,04-02-00,1,0,4,1,0.0,0.0,,-0.007568590350044436
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,04-05-00,1,0,0,1,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,04-99-00,0,0,5,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,05-03-00,4,1,3,3,0.25,0.25,0.25,0.23564593301435802
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,05-04-00,1,0,2,1,0.0,0.0,,-0.006299212598422824
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,05-05-00,3,2,3,1,0.4,0.6666666666666666,0.5,0.4910394265232948
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,05-99-00,0,0,3,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,multi_label,BLANK,0,0,2,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,00-02,0,0,4,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,01-00,1,0,0,1,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,01-01,6,2,49,4,0.0392156862745098,0.3333333333333333,0.07017543859649122,0.020817069997397478
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,01-03,0,0,2,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,01-04,29,18,11,11,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.5609070464767614
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,01-05,1,0,12,1,0.0,0.0,,-0.008743169398907492
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,01-99,0,0,9,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,02-00,1,0,0,1,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,02-03,0,0,1,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,03-00,2,0,0,2,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,03-01,79,59,33,20,0.6413043478260869,0.7468354430379747,0.6900584795321637,0.48421437382921356
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,03-02,3,2,14,1,0.125,0.6666666666666666,0.21052631578947367,0.19134396355352928
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,03-03,1,0,13,1,0.0,0.0,,-0.008795669824084995
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,03-04,10,6,21,4,0.2222222222222222,0.6,0.32432432432432434,0.2746219861054355
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,03-05,32,26,19,6,0.5777777777777777,0.8125,0.6753246753246752,0.606168182826714
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,03-06,2,1,5,1,0.16666666666666666,0.5,0.25,0.23928571428571455
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,03-07,1,0,17,1,0.0,0.0,,-0.008947368421053252
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,03-08,23,14,33,9,0.2978723404255319,0.6086956521739131,0.39999999999999997,0.29824286162535313
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,03-09,10,4,25,6,0.13793103448275862,0.4,0.20512820512820515,0.14546395755144254
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,03-99,0,0,16,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,04-00,1,0,0,1,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,04-01,1,0,1,1,0.0,0.0,,-0.00471698113209755
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,04-02,1,0,4,1,0.0,0.0,,-0.007568590350044436
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,04-05,1,0,0,1,,0.0,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,04-99,0,0,5,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,05-03,4,1,3,3,0.25,0.25,0.25,0.23564593301435802
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,05-04,1,0,2,1,0.0,0.0,,-0.006299212598422824
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,05-05,3,2,3,1,0.4,0.6666666666666666,0.5,0.4910394265232948
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,05-99,0,0,3,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,multi_label,BLANK,0,0,2,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,multi_label,00,0,0,4,0,0.0,,,0.0
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,multi_label,01,37,28,59,9,0.3218390804597701,0.7567567567567568,0.45161290322580644,0.27485731450886164
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,multi_label,02,1,0,1,1,0.0,0.0,,-0.00471698113209755
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,multi_label,03,163,150,30,13,0.8333333333333334,0.9202453987730062,0.8746355685131195,0.36302941790110566
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,multi_label,04,4,1,9,3,0.1,0.25,0.14285714285714288,0.11922811853893889
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,multi_label,05,8,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.7248772926892271
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,multi_label,BLANK,0,0,2,0,0.0,,,0.0
