level,cause_code,cause_name,stratum,n_true_positive_cases,denominator_comparable_cases,percent_of_comparable_cases
level2,04-03,Drowning/submersion,child / female,17,491,0.034623217922606926
level2,03-08,Anaemia,child / male,16,422,0.037914691943127965
level2,03-08,Anaemia,child / female,21,491,0.04276985743380855
level2,01-01,Acute febrile illness,child / male,237,422,0.5616113744075829
level2,01-01,Acute febrile illness,child / female,268,491,0.5458248472505092
level2,03-09,Nutritional disorder,child / female,35,491,0.07128309572301425
level2,03-06,Neoplasm,child / male,3,422,0.0071090047393364926
level2,04-07,Contact with venomous animals and plants,child / female,2,491,0.004073319755600814
level2,01-05,Diarrhoeal disease without fever,child / female,23,491,0.04684317718940937
level2,03-09,Nutritional disorder,child / male,17,422,0.04028436018957346
level2,01-04,TB/AIDS,child / male,49,422,0.11611374407582939
level2,01-07,Rabies,child / female,2,491,0.004073319755600814
level2,04-05,Poisoning/exposure to noxious substance,child / female,3,491,0.006109979633401222
level2,02-02,Eclampsia,adult / male,3,1223,0.0024529844644317253
level2,04-01,Transport,child / male,6,422,0.014218009478672985
level2,01-05,Diarrhoeal disease without fever,child / male,8,422,0.018957345971563982
level2,04-02,Fall,child / female,3,491,0.006109979633401222
level2,04-07,Contact with venomous animals and plants,child / male,2,422,0.004739336492890996
level2,03-03,Gastro intestinal disorder,child / female,5,491,0.010183299389002037
level2,05-04,Congenital abnormality,adult / male,1,1223,0.0008176614881439084
level2,03-06,Neoplasm,child / female,7,491,0.014256619144602852
level2,05-05,Birth injury/asphyxia,infant / female,115,278,0.4136690647482014
level2,03-04,Central nervous system disorder,child / female,2,491,0.004073319755600814
level2,03-07,Genito urinary disorders,child / female,2,491,0.004073319755600814
level2,05-03,Prematurity/low birth weight,infant / female,66,278,0.23741007194244604
level2,05-06,Neonatal sepsis,infant / male,50,223,0.2242152466367713
level2,01-01,Acute febrile illness,infant / female,8,278,0.02877697841726619
level2,03-04,Central nervous system disorder,child / male,4,422,0.009478672985781991
level2,04-04,Exposure to smoke/fire/flames,adult / male,1,1223,0.0008176614881439084
level2,01-01,Acute febrile illness,infant / male,6,223,0.026905829596412557
level2,05-05,Birth injury/asphyxia,infant / male,66,223,0.29596412556053814
level2,03-01,Cardiovascular disorder,child / male,2,422,0.004739336492890996
level2,05-03,Prematurity/low birth weight,infant / male,64,223,0.28699551569506726
level2,05-08,Sudden infant death syndrome,infant / female,2,278,0.007194244604316547
level2,05-06,Neonatal sepsis,infant / female,45,278,0.1618705035971223
level2,04-03,Drowning/submersion,child / male,8,422,0.018957345971563982
level2,03-02,Respiratory disorder,child / male,4,422,0.009478672985781991
level2,04-05,Poisoning/exposure to noxious substance,child / male,2,422,0.004739336492890996
level2,05-04,Congenital abnormality,child / male,2,422,0.004739336492890996
level2,05-04,Congenital abnormality,infant / male,3,223,0.013452914798206279
level2,03-09,Nutritional disorder,infant / female,1,278,0.0035971223021582736
level2,04-02,Fall,child / male,2,422,0.004739336492890996
level2,05-04,Congenital abnormality,infant / female,6,278,0.02158273381294964
level2,05-04,Congenital abnormality,child / female,4,491,0.008146639511201629
level2,03-03,Gastro intestinal disorder,child / male,4,422,0.009478672985781991
level2,05-08,Sudden infant death syndrome,child / male,2,422,0.004739336492890996
level2,04-04,Exposure to smoke/fire/flames,child / male,1,422,0.002369668246445498
level2,05-00,Unspecifiable,infant / male,2,223,0.008968609865470852
level2,05-06,Neonatal sepsis,child / male,3,422,0.0071090047393364926
level2,05-08,Sudden infant death syndrome,child / female,1,491,0.002036659877800407
level2,04-04,Exposure to smoke/fire/flames,child / female,2,491,0.004073319755600814
level2,01-03,Hepatitis,child / male,1,422,0.002369668246445498
level2,03-02,Respiratory disorder,child / female,3,491,0.006109979633401222
level2,04-01,Transport,child / female,3,491,0.006109979633401222
level2,05-03,Prematurity/low birth weight,child / male,1,422,0.002369668246445498
level2,05-05,Birth injury/asphyxia,child / male,1,422,0.002369668246445498
level2,05-06,Neonatal sepsis,child / female,1,491,0.002036659877800407
level2,04-09,Choking,child / female,1,491,0.002036659877800407
level2,02-02,Eclampsia,infant / male,1,223,0.004484304932735426
level2,01-04,TB/AIDS,infant / female,1,278,0.0035971223021582736
level3,04-03-00,External cause: Drowning/submersion,adult / female,26,1245,0.020883534136546186
level3,01-04-02,Communicable disease: TB/AIDS: AIDS,adult / male,301,1223,0.24611610793131644
level3,03-06-02,Non communicable disease: Neoplasm: Cervix/uterus,adult / male,59,1223,0.0482420278004906
level3,03-01-01,Non communicable disease: Cardiovascular disorder: Hypertension,adult / female,66,1245,0.05301204819277108
level3,03-01-02,Non communicable disease: Cardiovascular disorder: Congestive heart disease,adult / male,80,1223,0.06541291905151267
level3,03-01-04,Non communicable disease: Cardiovascular disorder: Cerebro vascular disease,adult / female,78,1245,0.06265060240963856
level3,03-01-02,Non communicable disease: Cardiovascular disorder: Congestive heart disease,adult / female,60,1245,0.04819277108433735
level3,03-06-04,Non communicable disease: Neoplasm: Gastro intestinal tract including abdominal but excluding liver,adult / female,9,1245,0.007228915662650603
level3,01-04-02,Communicable disease: TB/AIDS: AIDS,adult / female,303,1245,0.2433734939759036
level3,01-01-00,Communicable disease: Acute febrile illness: Unspecifiable,adult / male,19,1223,0.01553556827473426
level3,03-07-01,Non communicable disease: Genito urinary disorders: Kidney disorder,adult / female,13,1245,0.010441767068273093
level3,03-03-02,Non communicable disease: Gastro intestinal disorder: Liver cirrhosis,adult / male,13,1223,0.01062959934587081
level3,01-01-04,Communicable disease: Acute febrile illness: Pneumonia,adult / male,31,1223,0.025347506132461162
level3,03-01-04,Non communicable disease: Cardiovascular disorder: Cerebro vascular disease,adult / male,106,1223,0.0866721177432543
level3,01-01-06,Communicable disease: Acute febrile illness: Sepsis,adult / male,7,1223,0.005723630417007359
level3,03-01-01,Non communicable disease: Cardiovascular disorder: Hypertension,adult / male,136,1223,0.11120196238757155
level3,03-05-01,Non communicable disease: Endocrine disorders: Diabetes,adult / male,55,1223,0.044971381847914965
level3,01-04-01,Communicable disease: TB/AIDS: Pulmonary TB,adult / female,32,1245,0.02570281124497992
level3,03-08-00,Non communicable disease: Anaemia: Unspecifiable,adult / female,9,1245,0.007228915662650603
level3,01-01-02,Communicable disease: Acute febrile illness: Menigitis,adult / male,17,1223,0.013900245298446443
level3,03-05-01,Non communicable disease: Endocrine disorders: Diabetes,adult / female,53,1245,0.04257028112449799
level3,03-06-01,Non communicable disease: Neoplasm: Breast,adult / male,10,1223,0.008176614881439084
level3,03-03-03,Non communicable disease: Gastro intestinal disorder: Acute abdomen including obstruction,adult / female,30,1245,0.024096385542168676
level3,04-01-00,External cause: Transport,adult / female,50,1245,0.040160642570281124
level3,03-01-00,Non communicable disease: Cardiovascular disorder: Unspecifiable,adult / male,2,1223,0.001635322976287817
level3,04-05-00,External cause: Poisoning/exposure to noxious substance,adult / female,26,1245,0.020883534136546186
level3,03-08-00,Non communicable disease: Anaemia: Unspecifiable,adult / male,16,1223,0.013082583810302535
level3,03-04-02,Non communicable disease: Central nervous system disorder: Epilepsy,adult / male,15,1223,0.012264922322158627
level3,03-02-02,Non communicable disease: Respiratory disorder: Asthma,adult / female,17,1245,0.013654618473895583
level3,01-04-03,Communicable disease: TB/AIDS: Extrapulmonary TB,adult / male,5,1223,0.004088307440719542
level3,02-04-00,Direct maternal cause: Obstructed labour,adult / male,10,1223,0.008176614881439084
level3,01-01-01,Communicable disease: Acute febrile illness: Malaria,adult / male,28,1223,0.022894521668029435
level3,01-01-04,Communicable disease: Acute febrile illness: Pneumonia,adult / female,38,1245,0.030522088353413655
level3,04-08-00,External cause: Hanging,adult / male,2,1223,0.001635322976287817
level3,01-04-01,Communicable disease: TB/AIDS: Pulmonary TB,adult / male,20,1223,0.016353229762878167
level3,04-08-00,External cause: Hanging,adult / female,22,1245,0.017670682730923693
level3,03-02-02,Non communicable disease: Respiratory disorder: Asthma,adult / male,14,1223,0.011447260834014717
level3,03-04-01,Non communicable disease: Central nervous system disorder: Mental/behavioural disorder,adult / female,2,1245,0.001606425702811245
level3,01-01-06,Communicable disease: Acute febrile illness: Sepsis,adult / female,5,1245,0.004016064257028112
