evaluation,metric_type,comparison,level,n_compared,n_agree,accuracy,n_any_overlap,any_overlap,cohen_kappa,cohen_kappa_weighted_by_support,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,n_excluded_blank_reference
Evaluation 2: EXP3 vs PHY,direct,EXP3_direct vs PHY_direct,level1,330,222,0.6727272727272727,,,0.49021627188465505,,0.6727272727272727,0.6727272727272727,0.6727272727272727,0.5988332654999322,0.4818726821832412,0.5283184724178513,0.7789001122334457,0.6727272727272727,0.70877744126756,4820
Evaluation 2: EXP3 vs PHY,underlying,EXP3_underlying vs PHY_underlying,full,3866,1827,0.47258147956544233,,,0.44976898778951907,,0.47258147956544233,0.47258147956544233,0.47258147956544233,0.3443123928290134,0.3366500538332191,0.30750184051698815,0.6250647055250872,0.47258147956544233,0.5021121271962014,1284
Evaluation 2: EXP3 vs PHY,underlying,EXP3_underlying vs PHY_underlying,level2,3866,2467,0.6381272633212622,,,0.5964010407467096,,0.6381272633212622,0.6381272633212622,0.6381272633212622,0.41331016770542006,0.40766050823432876,0.3864710429858788,0.733094252731477,0.6381272633212622,0.6691293364213953,1284
Evaluation 2: EXP3 vs PHY,underlying,EXP3_underlying vs PHY_underlying,level1,3866,3036,0.785307811691671,,,0.689058207177986,,0.785307811691671,0.785307811691671,0.785307811691671,0.5800380360817837,0.5553140549272253,0.5604503506168793,0.8658365510776085,0.785307811691671,0.8209477282612563,1284
Evaluation 2: EXP3 vs PHY,contributory,EXP3_contrib_set vs PHY_contrib,full,257,34,0.13229571984435798,76.0,0.29571984435797666,0.08741083484343559,0.24705510569212027,0.2111111111111111,0.29571984435797666,0.24635332252836306,0.10344265003911411,0.11822926881481484,0.09717959277054383,0.4249502543370224,0.29571984435797666,0.33315828419760424,4893
Evaluation 2: EXP3 vs PHY,contributory,EXP3_contrib_set vs PHY_contrib,level2,257,55,0.2140077821011673,103.0,0.40077821011673154,0.14868856843798348,0.327721701255208,0.2985507246376812,0.40077821011673154,0.34219269102990035,0.1685254582226665,0.21170762213997388,0.16856651495868777,0.5370571020221369,0.40077821011673154,0.44168335859130337,4893
Evaluation 2: EXP3 vs PHY,contributory,EXP3_contrib_set vs PHY_contrib,level1,257,115,0.4474708171206226,147.0,0.5719844357976653,0.1535598234046722,0.17184127714910147,0.5034246575342466,0.5719844357976653,0.53551912568306,0.271996710772221,0.2560618306728632,0.2583902796790683,0.7395948502118599,0.5719844357976653,0.6405470546881521,4893
Evaluation 3: EXP2 vs EXP1 vs PHY,direct,EXP2_direct vs PHY_direct,full,330,92,0.2787878787878788,,,0.2513725789232881,,0.2787878787878788,0.2787878787878788,0.2787878787878788,0.2524791895796942,0.2002555729710902,0.1857737801216051,0.4686881321027663,0.2787878787878788,0.3173704048233084,4820
Evaluation 3: EXP2 vs EXP1 vs PHY,direct,EXP2_direct vs PHY_direct,level2,330,165,0.5,,,0.4224466200664001,,0.5,0.5,0.5,0.337861236878374,0.30080550030326814,0.27131890396704345,0.6521101173153959,0.5,0.5520845557640967,4820
Evaluation 3: EXP2 vs EXP1 vs PHY,direct,EXP2_direct vs PHY_direct,level1,330,210,0.6363636363636364,,,0.45129555216849104,,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.588408633893809,0.39596842081314126,0.4651258066975369,0.7822708214217649,0.6363636363636364,0.6925966502773391,4820
