cause_code,0,1-4,5-9,10-14,15,16-49,50-64,65+
03-06-03,0.0,0.0,0.0,0.0,4.76,-0.33,-0.55,-0.46
03-03-02,0.0,0.15,0.61,1.18,0.0,1.66,1.63,0.86
01-00-00,-0.3,-1.21,0.0,-1.79,0.0,-0.57,-1.22,-0.88
02-04-00,5.01,0.0,0.0,0.0,0.0,-0.93,0.0,0.0
03-07-01,0.0,0.15,1.73,0.56,0.0,0.55,1.63,1.31
01-01-02,-0.01,2.27,-0.42,0.52,0.0,0.34,1.22,0.85
03-08-00,0.48,3.02,1.01,-0.61,0.0,-0.04,-0.4,-0.03
04-05-00,0.25,-0.04,-1.64,0.0,0.0,-0.96,-1.85,-0.53
03-01-01,0.0,0.0,0.0,0.0,0.0,0.49,1.65,2.79
03-01-00,0.0,-0.2,-1.43,-1.79,0.0,-0.14,0.08,-1.16
03-06-02,0.0,0.0,0.0,0.0,0.0,-0.37,-2.15,-2.14
03-03-03,0.1,-0.37,-1.53,0.0,0.0,0.96,-1.46,-0.06
03-01-04,0.0,0.0,0.0,1.18,0.0,0.47,1.12,-1.64
03-02-02,0.13,-0.12,0.51,1.18,-1.49,-0.14,-0.73,0.06
03-01-99,0.25,0.15,0.0,2.35,0.0,0.22,0.71,0.67
01-01-99,0.5,0.15,1.83,0.0,0.0,0.29,0.53,0.74
01-04-03,0.0,0.0,-0.71,0.0,0.0,-0.85,-1.46,-0.92
05-04-00,-1.7,-1.25,-0.82,0.0,0.0,0.0,0.0,0.0
04-02-00,0.13,-0.17,-0.92,1.74,0.0,0.02,-0.49,-0.3
04-06-00,0.0,0.0,0.0,1.18,0.0,0.73,1.53,0.12
03-99-00,0.0,1.23,0.61,0.0,0.0,0.44,0.88,0.27
03-01-03,0.0,0.0,0.0,0.0,0.0,0.64,1.14,1.2
04-08-00,0.13,0.0,0.0,2.35,0.0,0.17,-0.2,-0.13
04-01-00,0.0,0.42,-0.02,-0.61,0.0,-1.24,-0.18,-0.37
00-03-00,0.13,0.15,0.61,0.0,0.0,0.07,0.0,1.88
01-01-03,0.0,0.92,1.83,0.0,0.0,0.0,0.0,0.0
03-08-01,-0.15,-0.87,-1.43,0.0,0.0,-0.27,0.0,0.0
03-02-01,0.0,0.0,0.61,0.0,0.0,0.07,0.47,1.3
05-06-00,-2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-06-04,0.0,0.0,0.0,0.0,0.0,0.78,0.49,-1.05
03-03-01,0.0,0.0,0.0,0.0,0.0,0.61,0.75,0.7
04-07-00,0.13,-0.2,-0.21,1.18,0.0,0.15,0.18,0.0
03-04-99,0.13,0.46,0.0,0.0,0.0,0.07,0.35,1.01
03-07-00,0.0,-0.02,0.0,0.0,0.0,-0.27,-0.49,-1.03
03-06-07,0.13,0.0,0.0,0.0,0.0,0.22,0.53,0.74
03-07-99,0.0,0.0,0.0,1.18,0.0,0.07,0.0,0.34
03-05-01,0.0,0.0,0.0,-0.61,0.0,0.46,-0.3,-0.15
02-99-00,0.13,0.0,0.0,0.0,0.0,1.24,0.0,0.0
05-99-00,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-03-99,0.0,0.46,0.0,0.0,0.0,0.15,0.18,0.4
03-02-00,0.0,0.29,0.0,0.0,0.0,0.06,-0.24,-0.41
03-06-06,0.0,0.0,0.0,-0.61,0.0,0.0,0.18,0.13
03-04-01,0.0,0.0,0.0,0.0,0.0,-0.03,-0.24,-0.64
02-03-00,-0.15,0.0,0.0,0.0,0.0,-0.73,0.0,0.0
00-04-00,0.25,0.15,0.0,0.0,0.0,0.0,0.0,0.13
03-05-00,0.13,0.0,0.0,0.0,0.0,0.07,0.18,-0.11
02-01-00,0.0,0.0,0.0,0.0,0.0,-0.48,0.0,0.0
03-06-05,0.0,0.0,0.0,0.0,0.0,-0.02,-0.31,-0.1
00-01-00,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.07
03-06-01,0.0,0.0,0.0,0.0,0.0,0.02,0.04,-0.26
02-02-00,0.1,0.0,0.0,0.0,0.0,-0.21,0.0,0.0
03-09-00,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,-0.22
01-07-00,0.0,-0.02,-0.1,0.0,0.0,0.0,0.0,-0.11
03-02-99,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07
05-09-00,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-02-00,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-99-00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
02-05-00,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.07
03-05-99,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
01-06-00,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
02-00-00,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
02-06-00,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
