stratum,va_type,sex,level,experiment,n_reference,n_predicted,n_causes_union,sum_abs_csmf_error,csmf_similarity,csmf_accuracy_chance_corrected
va_type_sex,child,male,level2,EXP4,421,420,30,0.32697658635900917,0.8365117068204955,0.8365117068204955
va_type_sex,child,male,level3,EXP1,421,421,51,0.6935866983372923,0.6532066508313539,0.6532066508313539
va_type_sex,child,male,level3,EXP2,421,421,49,0.5463182897862233,0.7268408551068883,0.7268408551068883
va_type_sex,child,male,level3,EXP3,421,405,53,0.6458813524530072,0.6770593237734964,0.6770593237734964
va_type_sex,child,male,level3,EXP4,421,420,48,0.5734871620857369,0.7132564189571315,0.7132564189571315
va_type_sex,infant,female,level1,EXP1,278,278,6,0.302158273381295,0.8489208633093526,0.8489208633093526
va_type_sex,infant,female,level1,EXP2,278,278,6,0.49640287769784164,0.7517985611510791,0.7517985611510791
va_type_sex,infant,female,level1,EXP3,278,237,6,0.19809974804966152,0.9009501259751692,0.9009501259751692
va_type_sex,infant,female,level1,EXP4,278,278,6,0.41726618705035967,0.7913669064748201,0.7913669064748201
va_type_sex,infant,female,level2,EXP1,278,278,15,0.3525179856115107,0.8237410071942446,0.8237410071942446
va_type_sex,infant,female,level2,EXP2,278,278,19,1.028776978417266,0.485611510791367,0.485611510791367
va_type_sex,infant,female,level2,EXP3,278,237,17,0.258112497343897,0.8709437513280515,0.8709437513280515
va_type_sex,infant,female,level2,EXP4,278,278,20,0.9712230215827338,0.5143884892086331,0.5143884892086331
va_type_sex,infant,female,level3,EXP1,278,278,21,0.38129496402877694,0.8093525179856116,0.8093525179856116
va_type_sex,infant,female,level3,EXP2,278,278,24,1.050359712230216,0.474820143884892,0.474820143884892
va_type_sex,infant,female,level3,EXP3,278,237,21,0.2662781167471086,0.8668609416264457,0.8668609416264457
va_type_sex,infant,female,level3,EXP4,278,278,23,0.9784172661870503,0.5107913669064749,0.5107913669064749
va_type_sex,infant,male,level1,EXP1,223,223,5,0.3318385650224216,0.8340807174887892,0.8340807174887892
va_type_sex,infant,male,level1,EXP2,223,221,6,0.48941825781709714,0.7552908710914514,0.7552908710914514
va_type_sex,infant,male,level1,EXP3,223,184,6,0.22363033729771886,0.8881848313511406,0.8881848313511406
va_type_sex,infant,male,level1,EXP4,223,223,6,0.44843049327354256,0.7757847533632287,0.7757847533632287
va_type_sex,infant,male,level2,EXP1,223,223,16,0.4304932735426009,0.7847533632286996,0.7847533632286996
va_type_sex,infant,male,level2,EXP2,223,221,21,1.0241665483026603,0.48791672584866985,0.48791672584866985
va_type_sex,infant,male,level2,EXP3,223,184,17,0.32598947163189707,0.8370052641840515,0.8370052641840515
va_type_sex,infant,male,level2,EXP4,223,223,18,0.905829596412556,0.547085201793722,0.547085201793722
va_type_sex,infant,male,level3,EXP1,223,223,17,0.4304932735426009,0.7847533632286996,0.7847533632286996
va_type_sex,infant,male,level3,EXP2,223,221,24,1.0241665483026603,0.48791672584866985,0.48791672584866985
va_type_sex,infant,male,level3,EXP3,223,184,20,0.32598947163189707,0.8370052641840515,0.8370052641840515
va_type_sex,infant,male,level3,EXP4,223,223,21,0.905829596412556,0.547085201793722,0.547085201793722
