stratum,va_type,age_group,sex,level,experiment,n_reference,n_predicted,n_causes_union,sum_abs_csmf_error,csmf_similarity,csmf_accuracy_chance_corrected
va_type_age_sex,child,10-14,female,level2,EXP4,22,22,15,0.6363636363636364,0.6818181818181819,0.6818181818181819
va_type_age_sex,child,10-14,female,level3,EXP1,22,22,21,0.7272727272727272,0.6363636363636365,0.6363636363636365
va_type_age_sex,child,10-14,female,level3,EXP2,22,22,22,0.7272727272727271,0.6363636363636365,0.6363636363636365
va_type_age_sex,child,10-14,female,level3,EXP3,22,21,20,0.800865800865801,0.5995670995670995,0.5995670995670995
va_type_age_sex,child,10-14,female,level3,EXP4,22,22,22,0.8181818181818181,0.5909090909090909,0.5909090909090909
va_type_age_sex,child,10-14,male,level1,EXP1,12,12,3,0.33333333333333337,0.8333333333333333,0.8
va_type_age_sex,child,10-14,male,level1,EXP2,12,12,3,0.33333333333333337,0.8333333333333333,0.8
va_type_age_sex,child,10-14,male,level1,EXP3,12,10,3,0.13333333333333333,0.9333333333333333,0.92
va_type_age_sex,child,10-14,male,level1,EXP4,12,12,3,0.33333333333333337,0.8333333333333333,0.8
va_type_age_sex,child,10-14,male,level2,EXP1,12,12,7,0.8333333333333335,0.5833333333333333,0.5833333333333333
va_type_age_sex,child,10-14,male,level2,EXP2,12,12,7,0.8333333333333335,0.5833333333333333,0.5833333333333333
va_type_age_sex,child,10-14,male,level2,EXP3,12,10,8,0.9666666666666667,0.5166666666666666,0.5166666666666666
va_type_age_sex,child,10-14,male,level2,EXP4,12,12,6,0.6666666666666667,0.6666666666666666,0.6363636363636362
va_type_age_sex,child,10-14,male,level3,EXP1,12,12,12,1.1666666666666665,0.41666666666666674,0.41666666666666674
va_type_age_sex,child,10-14,male,level3,EXP2,12,12,13,1.0000000000000002,0.4999999999999999,0.4999999999999999
va_type_age_sex,child,10-14,male,level3,EXP3,12,10,14,1.3333333333333335,0.33333333333333326,0.33333333333333326
va_type_age_sex,child,10-14,male,level3,EXP4,12,12,12,0.8333333333333335,0.5833333333333333,0.5833333333333333
va_type_age_sex,child,5-9,female,level1,EXP1,83,83,4,0.09638554216867459,0.9518072289156627,0.9506172839506173
va_type_age_sex,child,5-9,female,level1,EXP2,83,83,5,0.1204819277108434,0.9397590361445783,0.9397590361445783
va_type_age_sex,child,5-9,female,level1,EXP3,83,73,5,0.127743852120812,0.936128073939594,0.936128073939594
va_type_age_sex,child,5-9,female,level1,EXP4,83,83,5,0.12048192771084332,0.9397590361445783,0.9397590361445783
va_type_age_sex,child,5-9,female,level2,EXP1,83,83,22,0.43373493975903615,0.7831325301204819,0.7831325301204819
va_type_age_sex,child,5-9,female,level2,EXP2,83,83,22,0.43373493975903615,0.7831325301204819,0.7831325301204819
va_type_age_sex,child,5-9,female,level2,EXP3,83,73,21,0.44330747648126756,0.7783462617593662,0.7783462617593662
va_type_age_sex,child,5-9,female,level2,EXP4,83,83,23,0.45783132530120485,0.7710843373493976,0.7710843373493976
va_type_age_sex,child,5-9,female,level3,EXP1,83,83,33,0.8192771084337349,0.5903614457831325,0.5903614457831325
va_type_age_sex,child,5-9,female,level3,EXP2,83,83,32,0.6987951807228916,0.6506024096385542,0.6506024096385542
