stratum,va_type,level,experiment,null_model,n_simulations,n_reference,n_predicted,observed_csmf_accuracy,null_mean,null_sd,null_p2_5,null_p50,null_p97_5,observed_minus_null_mean,observed_percentile_vs_null,empirical_p_sim_ge_observed
overall,overall,level1,EXP4,overall_physician_prior,1000,3866,3863,0.9108400910169692,0.9890377565575296,0.0046835270890336215,0.9785579289973103,0.9896999658943316,0.9962687576930493,-0.0781976655405604,0.0,1.0
overall,overall,level1,EXP4,stratum_physician_prior,1000,3866,3863,0.9108400910169692,0.9892087981484446,0.004727097673430193,0.9779407223649839,0.9899134914239629,0.9967431498109652,-0.07836870713147548,0.0,1.0
overall,overall,level2,EXP1,uniform_codes,1000,3866,3866,0.8820486290739783,0.4316530401034929,0.006293225363558369,0.41888098318240624,0.4315653298835706,0.44346701164294944,0.45039558897048537,1.0,0.000999000999000999
overall,overall,level2,EXP1,overall_physician_prior,1000,3866,3866,0.8820486290739783,0.9710313065976713,0.004660219843839014,0.9614424320827942,0.9710219922380336,0.9795666235446313,-0.08898267752369304,0.0,1.0
overall,overall,level2,EXP1,stratum_physician_prior,1000,3866,3866,0.8820486290739783,0.9710191461836998,0.0047857977949101,0.9611772315653299,0.9712807244501941,0.979307891332471,-0.08897051710972148,0.0,1.0
overall,overall,level2,EXP2,uniform_codes,1000,3866,3857,0.8093197565689381,0.43149374444274136,0.0062490952799784975,0.4200998570834903,0.43146262855693907,0.4439717306380999,0.3778260121261967,1.0,0.000999000999000999
overall,overall,level2,EXP2,overall_physician_prior,1000,3866,3857,0.8093197565689381,0.9708452708252766,0.004831647893900296,0.9611858883949849,0.9710574781960924,0.9794887338791284,-0.16152551425633854,0.0,1.0
overall,overall,level2,EXP2,stratum_physician_prior,1000,3866,3857,0.8093197565689381,0.9711088643453664,0.004620607402450391,0.9615255976851617,0.9714613405977808,0.9795359137684512,-0.1617891077764283,0.0,1.0
overall,overall,level2,EXP3,uniform_codes,1000,3866,3579,0.8595500250281611,0.43134563623436556,0.0064558005558699606,0.4190269366330184,0.431327562282063,0.44376384161308924,0.4282043887937956,1.0,0.000999000999000999
overall,overall,level2,EXP3,overall_physician_prior,1000,3866,3579,0.8595500250281611,0.970157980486285,0.004707876939137843,0.9600418677733089,0.970637544653717,0.9783838706960649,-0.11060795545812385,0.0,1.0
overall,overall,level2,EXP3,stratum_physician_prior,1000,3866,3579,0.8595500250281611,0.9697308409302937,0.004800883434397781,0.9588373026931933,0.9700199199947083,0.9778642375189179,-0.11018081590213258,0.0,1.0
overall,overall,level2,EXP4,uniform_codes,1000,3866,3863,0.8110435011669065,0.43117515340248264,0.006308659633427224,0.41851796775659506,0.43118590508888,0.4438998891195502,0.37986834776442385,1.0,0.000999000999000999
overall,overall,level2,EXP4,overall_physician_prior,1000,3866,3863,0.8110435011669065,0.9708618591011215,0.004590730427837054,0.9610260276032375,0.9710808315464423,0.9789908489303268,-0.15981835793421506,0.0,1.0
overall,overall,level2,EXP4,stratum_physician_prior,1000,3866,3863,0.8110435011669065,0.9707995928467208,0.004787934102068557,0.9608238306901413,0.9709494561298873,0.979203799003315,-0.1597560916798143,0.0,1.0
overall,overall,level3,EXP1,uniform_codes,1000,3866,3866,0.7415933781686497,0.5258817593790427,0.00673154300716031,0.5128072445019405,0.5260025873221216,0.5386804657179819,0.21571161878960698,1.0,0.000999000999000999
overall,overall,level3,EXP1,overall_physician_prior,1000,3866,3866,0.7415933781686497,0.9581529107373868,0.004816753479852758,0.9477360931435964,0.9583441138421733,0.9668822768434671,-0.21655953256873717,0.0,1.0
overall,overall,level3,EXP1,stratum_physician_prior,1000,3866,3866,0.7415933781686497,0.9579803363518758,0.004777180979411914,0.9482535575679172,0.958085381630013,0.9666300129366107,-0.21638695818322617,0.0,1.0
overall,overall,level3,EXP2,uniform_codes,1000,3866,3857,0.7263878562918169,0.525788144335948,0.006482145249928539,0.5136084590742591,0.5255653520203685,0.5392517393318241,0.2005997119558689,1.0,0.000999000999000999
